id,name
1,"Investing in plant, machinery or property"
2,"Taking on staff and developing people"
3,"Easing administration"
4,"Performance improvement and best practice"
5,"Exporting or finding overseas partners"
6,"Setting up your business"
7,NULL
8,"Taking new products or services to market"
9,"Setting up or running a rural business"
10,"Developing new product or service ideas"
11,"Business growth and expansion"
12,"Energy efficiency and the environment"
13,"Consultancy and business advice"
14,"Making the most of the Internet"
15,"Exchanging ideas and sharing expertise"
16,Marketing
17,Conservation
18,"Finding new customers and markets"
19,"Investing in community development"
20,"Learning from other businesses"
21,"Specific support for women in business"
