id,bsf_scheme_id,bsf_support_purpose_id
1,8,1
2,1,1
3,5,4
4,6,5
5,7,4
6,2,2
7,4,2
8,8,1
9,1,1
10,5,4
11,6,5
12,7,4
13,2,2
14,4,2
15,9,2
16,14,8
17,17,10
18,16,1
19,10,6
20,9,2
21,14,8
22,17,10
23,16,1
24,10,6
25,25,1
26,24,2
27,23,1
28,22,11
29,18,1
30,21,4
31,20,6
32,25,1
33,24,2
34,23,1
35,22,11
36,18,1
37,21,4
38,20,6
39,30,1
40,32,2
41,27,12
42,31,11
43,30,1
44,32,2
45,27,12
46,31,11
47,39,2
48,38,11
49,42,6
50,40,6
51,36,6
52,35,10
53,39,2
54,38,11
55,42,6
56,40,6
57,36,6
58,35,10
59,50,11
60,49,1
61,48,1
62,46,1
63,47,2
64,50,11
65,49,1
66,48,1
67,46,1
68,47,2
69,57,14
70,60,6
71,52,1
72,53,2
73,59,6
74,54,2
75,56,6
76,57,14
77,60,6
78,52,1
79,53,2
80,59,6
81,54,2
82,56,6
83,70,5
84,66,4
85,61,11
86,62,1
87,71,15
88,70,5
89,66,4
90,61,11
91,62,1
92,71,15
93,77,2
94,79,11
95,81,4
96,74,10
97,72,15
98,73,2
99,77,2
100,79,11
101,81,4
102,74,10
103,72,15
104,73,2
105,88,1
106,83,5
107,86,1
108,87,14
109,89,11
110,85,12
111,82,2
112,88,1
113,83,5
114,86,1
115,87,14
116,89,11
117,85,12
118,82,2
119,91,12
120,92,11
121,96,11
122,94,8
123,91,12
124,92,11
125,96,11
126,94,8
127,98,6
128,104,18
129,103,1
130,102,10
131,98,6
132,104,18
133,103,1
134,102,10
135,112,12
136,113,1
137,108,6
138,110,6
139,112,12
140,113,1
141,108,6
142,110,6
143,119,11
144,117,15
145,121,1
146,114,4
147,119,11
148,117,15
149,121,1
150,114,4
151,129,6
152,129,6
153,138,1
154,137,1
155,134,2
156,136,1
157,135,2
158,138,1
159,137,1
160,134,2
161,136,1
162,135,2
163,141,1
164,144,10
165,143,10
166,142,1
167,141,1
168,144,10
169,143,10
170,142,1
171,152,2
172,151,6
173,147,6
174,146,6
175,148,6
176,152,2
177,151,6
178,147,6
179,146,6
180,148,6
181,161,6
182,162,1
183,158,2
184,161,6
185,162,1
186,158,2
187,165,11
188,164,1
189,166,6
190,168,12
191,165,11
192,164,1
193,166,6
194,168,12
195,173,11
196,173,5
197,173,18
198,175,6
199,170,2
200,173,11
201,173,5
202,173,18
203,175,6
204,170,2
205,193,15
206,193,15
207,198,6
208,200,10
209,195,15
210,198,6
211,200,10
212,195,15
213,203,1
214,209,4
215,205,4
216,208,1
217,202,11
218,202,6
219,204,15
220,203,1
221,209,4
222,205,4
223,208,1
224,202,11
225,202,6
226,204,15
227,211,4
228,217,4
229,216,10
230,215,8
231,211,4
232,217,4
233,216,10
234,215,8
235,219,15
236,220,4
237,221,11
238,224,12
239,218,10
240,219,15
241,220,4
242,221,11
243,224,12
244,218,10
245,226,18
246,231,8
247,232,11
248,228,1
249,229,6
250,227,12
251,226,18
252,231,8
253,232,11
254,228,1
255,229,6
256,227,12
257,235,18
258,234,11
259,241,11
260,243,11
261,235,18
262,234,11
263,241,11
264,243,11
265,246,4
266,244,11
267,249,4
268,246,4
269,244,11
270,249,4
271,258,4
272,257,10
273,256,10
274,255,10
275,253,10
276,252,10
277,259,6
278,254,10
279,258,4
280,257,10
281,256,10
282,255,10
283,253,10
284,252,10
285,259,6
286,254,10
287,264,12
288,267,6
289,260,11
290,263,4
291,264,12
292,267,6
293,260,11
294,263,4
295,272,5
296,270,1
297,269,6
298,268,6
299,274,8
300,273,15
301,271,12
302,272,5
303,270,1
304,269,6
305,268,6
306,274,8
307,273,15
308,271,12
309,276,4
310,283,4
311,282,5
312,277,12
313,276,4
314,283,4
315,282,5
316,277,12
317,287,11
318,289,4
319,286,11
320,290,10
321,287,11
322,289,4
323,286,11
324,290,10
325,296,11
326,296,10
327,298,11
328,292,4
329,291,11
330,297,4
331,295,8
332,294,1
333,296,11
334,296,10
335,298,11
336,292,4
337,291,11
338,297,4
339,295,8
340,294,1
341,305,11
342,303,2
343,306,4
344,300,6
345,305,11
346,303,2
347,306,4
348,300,6
349,311,11
350,308,2
351,314,1
352,315,1
353,313,6
354,310,11
355,312,6
356,309,11
357,311,11
358,308,2
359,314,1
360,315,1
361,313,6
362,310,11
363,312,6
364,309,11
365,320,6
366,316,6
367,323,2
368,321,2
369,318,11
370,317,15
371,322,2
372,319,11
373,320,6
374,316,6
375,323,2
376,321,2
377,318,11
378,317,15
379,322,2
380,319,11
381,328,2
382,325,15
383,330,2
384,329,11
385,324,11
386,326,10
387,327,4
388,328,2
389,325,15
390,330,2
391,329,11
392,324,11
393,326,10
394,327,4
395,332,11
396,333,11
397,334,1
398,336,6
399,331,11
400,335,11
401,332,11
402,333,11
403,334,1
404,336,6
405,331,11
406,335,11
407,339,11
408,342,8
409,340,10
410,343,11
411,345,1
412,344,8
413,341,10
414,339,11
415,342,8
416,340,10
417,343,11
418,345,1
419,344,8
420,341,10
421,350,6
422,356,11
423,355,12
424,354,11
425,352,6
426,351,4
427,353,11
428,350,6
429,356,11
430,355,12
431,354,11
432,352,6
433,351,4
434,353,11
435,360,10
436,361,11
437,359,11
438,358,12
439,362,8
440,364,10
441,363,6
442,360,10
443,361,11
444,359,11
445,358,12
446,362,8
447,364,10
448,363,6
449,370,6
450,372,1
451,373,1
452,371,11
453,366,11
454,368,18
455,367,10
456,369,2
457,370,6
458,372,1
459,373,1
460,371,11
461,366,11
462,368,18
463,367,10
464,369,2
465,381,1
466,377,2
467,375,2
468,376,1
469,378,18
470,382,1
471,380,14
472,381,1
473,377,2
474,375,2
475,376,1
476,378,18
477,382,1
478,380,14
479,388,6
480,389,6
481,384,11
482,386,6
483,387,11
484,390,6
485,385,6
486,383,8
487,388,6
488,389,6
489,384,11
490,386,6
491,387,11
492,390,6
493,385,6
494,383,8
495,392,6
496,391,6
497,394,1
498,399,2
499,400,1
500,395,10
501,393,1
502,392,6
503,391,6
504,394,1
505,399,2
506,400,1
507,395,10
508,393,1
509,403,12
510,406,2
511,402,11
512,404,4
513,407,11
514,403,12
515,406,2
516,402,11
517,404,4
518,407,11
519,410,6
520,411,1
521,410,6
522,411,1
523,423,15
524,420,6
525,419,18
526,421,1
527,424,10
528,418,8
529,423,15
530,420,6
