id,bsf_scheme_id,bsf_sector_id
1,17,2
2,17,2
3,30,6
4,30,7
5,30,8
6,30,3
7,30,9
8,30,10
9,30,5
10,30,11
11,24,3
12,28,4
13,28,5
14,30,6
15,30,7
16,30,8
17,30,3
18,30,9
19,30,10
20,30,5
21,30,11
22,24,3
23,28,4
24,28,5
25,37,8
26,37,5
27,33,12
28,33,7
29,33,8
30,33,3
31,33,9
32,33,10
33,33,5
34,33,11
35,33,2
36,36,13
37,36,14
38,36,9
39,34,6
40,37,8
41,37,5
42,33,12
43,33,7
44,33,8
45,33,3
46,33,9
47,33,10
48,33,5
49,33,11
50,33,2
51,36,13
52,36,14
53,36,9
54,34,6
55,45,8
56,45,5
57,45,2
58,51,3
59,47,8
60,47,3
61,47,9
62,45,8
63,45,5
64,45,2
65,51,3
66,47,8
67,47,3
68,47,9
69,52,3
70,54,3
71,66,6
72,61,6
73,61,4
74,52,3
75,54,3
76,66,6
77,61,6
78,61,4
79,69,8
80,69,5
81,76,3
82,67,6
83,74,4
84,74,5
85,74,2
86,75,6
87,75,3
88,75,2
89,72,7
90,72,8
91,72,3
92,72,15
93,72,2
94,71,8
95,69,8
96,69,5
97,76,3
98,67,6
99,74,4
100,74,5
101,74,2
102,75,6
103,75,3
104,75,2
105,72,7
106,72,8
107,72,3
108,72,15
109,72,2
110,71,8
111,86,4
112,86,5
113,85,6
114,86,4
115,86,5
116,85,6
117,90,8
118,90,5
119,97,6
120,97,12
121,97,7
122,97,13
123,97,14
124,97,4
125,97,8
126,97,3
127,97,16
128,97,17
129,97,9
130,97,15
131,97,10
132,97,5
133,97,11
134,97,2
135,93,8
136,93,3
137,89,8
138,89,5
139,90,8
140,90,5
141,97,6
142,97,12
143,97,7
144,97,13
145,97,14
146,97,4
147,97,8
148,97,3
149,97,16
150,97,17
151,97,9
152,97,15
153,97,10
154,97,5
155,97,11
156,97,2
157,93,8
158,93,3
159,89,8
160,89,5
161,100,5
162,106,6
163,100,5
164,106,6
165,115,4
166,115,5
167,117,8
168,117,5
169,113,5
170,114,5
171,115,4
172,115,5
173,117,8
174,117,5
175,113,5
176,114,5
177,123,6
178,118,3
179,118,9
180,118,11
181,122,6
182,122,2
183,124,5
184,123,6
185,118,3
186,118,9
187,118,11
188,122,6
189,122,2
190,124,5
191,138,6
192,138,7
193,138,4
194,138,8
195,138,3
196,138,10
197,137,6
198,137,7
199,137,8
200,137,3
201,137,10
202,136,6
203,136,7
204,136,4
205,136,8
206,136,3
207,136,10
208,133,5
209,138,6
210,138,7
211,138,4
212,138,8
213,138,3
214,138,10
215,137,6
216,137,7
217,137,8
218,137,3
219,137,10
220,136,6
221,136,7
222,136,4
223,136,8
224,136,3
225,136,10
226,133,5
227,141,6
228,141,7
229,141,8
230,141,3
231,141,10
232,139,6
233,139,7
234,139,8
235,139,3
236,139,10
237,140,6
238,140,7
239,140,8
240,140,3
241,140,10
242,142,6
243,142,7
244,142,8
245,142,3
246,142,10
247,141,6
248,141,7
249,141,8
250,141,3
251,141,10
252,139,6
253,139,7
254,139,8
255,139,3
256,139,10
257,140,6
258,140,7
259,140,8
260,140,3
261,140,10
262,142,6
263,142,7
264,142,8
265,142,3
266,142,10
267,152,8
268,152,8
269,168,15
270,168,15
271,203,8
272,207,5
273,206,8
274,206,5
275,200,8
276,200,3
277,200,9
278,200,15
279,200,11
280,200,2
281,202,6
282,202,12
283,202,7
284,202,13
285,202,14
286,202,4
287,202,8
288,202,3
289,202,16
290,202,17
291,202,9
292,202,15
293,202,10
294,202,5
295,202,11
296,202,2
297,204,8
298,204,3
299,204,9
300,204,11
301,203,8
302,207,5
303,206,8
304,206,5
305,200,8
306,200,3
307,200,9
308,200,15
309,200,11
310,200,2
311,202,6
312,202,12
313,202,7
314,202,13
315,202,14
316,202,4
317,202,8
318,202,3
319,202,16
320,202,17
321,202,9
322,202,15
323,202,10
324,202,5
325,202,11
326,202,2
327,204,8
328,204,3
329,204,9
330,204,11
331,210,7
332,212,7
333,212,3
334,209,7
335,211,7
336,213,3
337,214,8
338,210,7
339,212,7
340,212,3
341,209,7
342,211,7
343,213,3
344,214,8
345,225,7
346,223,4
347,225,7
348,223,4
349,235,3
350,228,8
351,233,4
352,235,3
353,228,8
354,233,4
355,246,9
356,243,8
357,247,6
358,246,9
359,243,8
360,247,6
361,257,3
362,256,3
363,255,3
364,253,3
365,252,3
366,250,12
367,251,4
368,251,3
369,254,3
370,249,10
371,257,3
372,256,3
373,255,3
374,253,3
375,252,3
376,250,12
377,251,4
378,251,3
379,254,3
380,249,10
381,266,6
382,265,6
383,266,6
384,265,6
385,281,3
386,287,11
387,285,6
388,278,6
389,286,6
390,286,4
391,286,8
392,286,3
393,286,9
394,286,15
395,286,5
396,286,11
397,281,3
398,287,11
399,285,6
400,278,6
401,286,6
402,286,4
403,286,8
404,286,3
405,286,9
406,286,15
407,286,5
408,286,11
409,292,8
410,289,6
411,290,3
412,292,8
413,289,6
414,290,3
415,306,6
416,306,6
417,311,5
418,314,12
419,314,8
420,314,3
421,314,9
422,314,2
423,315,12
424,315,8
425,315,3
426,315,9
427,315,2
428,313,12
429,313,8
430,313,3
431,313,9
