name,address1,address2,town,postcode,access_notes,general_notes,url,lat,lng,phone,fax,text_phone
Town Hall,Cauldwell Street,Bedford,,MK42 9AP,,,http://www.bedford.gov.uk/advice_and_benefits/registration_service.aspx,52.1327584352089,-0.4702813074674147,,,
County Hall,Walton Street,Aylesbury,,HP20 1XF,,,http://www.buckscc.gov.uk/registration/index.stm,51.81525988351161,-0.8119554673823927,,,
Shire Hall,Castle Hill,Cambridge,,CB3 0AP,,,http://www.cambridgeshire.gov.uk/community/bmd/,52.2128132777458,0.11402791296760088,,,
County Hall,Treyew Road,Truro,,TR1 3AY,,,http://www.cornwall.gov.uk/registration,50.26013713259724,-5.068742064633415,,,
The Courts,English Street,Carlisle,,CA3 8NA,,,http://www.cumbria.gov.uk/registration/wheretofindus/default.asp,54.891743019993584,-2.9336690138490784,,,
County Hall,Matlock,,,DE4 3NN,,,http://www.derbyshire.gov.uk/community/births_marriages_deaths/,53.13968311320805,-1.5542635583345903,,,
County Hall,Exeter,Devon,,EX2 4QD,,,http://www.devon.gov.uk/index/community/the_people/registration_districts_in_devon.htm,50.71455708892088,-3.517489729721524,,,
County Hall,Colliton Park,Dorchester,,DT1 1XJ,,,http://www.dorsetforyou.com/index.jsp?articleid=384327,50.7163479305192,-2.440042156349823,,,
40 Old Elvet,Durham City,,,DH1 3HN,,,http://www.durham.gov.uk/durhamcc/usp.nsf/pws/Registrar+-+Register+Office+locations+and+contact+details,54.77512894388498,-1.5688619777453032,,,
County Hall,St. Annes Cresent,Lewes,,BN7 1UE,,,http://www.eastsussex.gov.uk/atoz/heading785.aspx?forms &acc 1&ae 1&ah 1&al 1&ar,50.87205626727738,0.0011013384652131016,,,
17 Market Road,Chelmsford,,,CM1 1GF,,,http://www.essexcc.gov.uk/vip8/ecc/ECCWebsite/display/channels/births_marriages_deaths_channel_640771_Living/contacts/index.jsp,51.73468239133302,0.4697546222662106,,,
Shire Hall,Westgate Street,Gloucester,,GL1 2TG,,,http://www.gloucestershire.gov.uk/index.cfm?ArticleID=150,51.86645299150972,-2.2486003315848944,,,
The Castle,Winchester,Hampshire,,SO23 8ZB,,,http://www3.hants.gov.uk/registration/registration-contact.htm,51.06254899810587,-1.3193686716108406,,,
19b St Albans Road East,Hatfield,Hertfordshire,,AL10 0NG,,,http://www.hertsdirect.org/comdirectory/register/contactreg/,51.765820355393295,-0.2185698720996784,,,
Invicta House,County Hall,Maidstone,,ME14 1XX,,,"http://www.kent.gov.uk/community_and_living/births,_deaths_and_ceremonies.aspx",51.27880227916336,0.521176322798522,,,
Bow Lane,PRESTON,,,PR1 8SE,,,http://www.lancashire.gov.uk/acs/sites/registration/contact/index.asp,53.7543644309699,-2.7087380532762912,,,
County Hall,Glenfield,Leicester,,LE3 8RN,,,http://www.leicestershire.gov.uk/registration_services,52.65571122128849,-1.1880050970453464,,,
4 Lindum Road,Lincoln,,,LN2 1NN,,,http://www.lincolnshire.gov.uk/index.asp?catId=2944,53.23140568271685,-0.536849411669047,,,
Churchman House,71 Bethel Street,Norwich,,NR2 1NR,,,http://www.norfolk.gov.uk/consumption/idcplg?IdcService=SS_GET_PAGE&ssDocName=NCC006792&ssSourceNodeId=&ssTargetNodeId=54,52.62856577050896,1.2889981848909837,,,
Charles House,61-69 Derngate,Northampton,,NN1 1UE,,,http://www3.northamptonshire.gov.uk/Community/Registration/reg_home.htm,52.2362055565791,-0.8913819004066272,,,
94 New Gate Street,Morpeth,,,NE61 1BU,,,http://www.northumberland.gov.uk/register/register-office.asp,55.17017198593392,-1.6926360852710158,,,
Bilton House,31 Park Parade,Harrogate,,HG1 5AG,,,http://www.northyorks.gov.uk/index.aspx?articleid=2849,53.99488021362959,-1.5276588940681795,,,
Fairdale House,47 Station Road,Carlton,,NG4 3AR,,,http://www.nottinghamshire.gov.uk/home/youandyourcommunity/registrars/registeroffices.htm,52.96623723230103,-1.0822634693690967,,,
1 Tidmarsh Lane,Oxford,,,OX1 1NS,,,http://www.oxfordshire.gov.uk/registration,51.752311861473935,-1.2636535354817835,,,
Column Lodge,Preston Street,Shrewsbury,,SY2 5NY,,,http://www.shropshire.gov.uk/registrar.nsf/open/4F3206F3069D0B7780256D1E004B347D,52.70431824547464,-2.730109749232437,,,
The Old Municipal Buildings,Corporation Street,Taunton,,TA1 4AQ,,,http://www.somerset.gov.uk/somerset/resources/registrationservice/registerofficesandopeninghours/,51.01484982762173,-3.104422786751273,,,
79 Eastgate Street,Stafford,Staffordshire,,ST16 2NG,,,http://www.staffordshire.gov.uk/community/lifeevents/home.aspx,52.80662832780148,-2.114908058295834,,,
St Peter House,16 Grimwade Street,Ipswich,,IP4 1LP,,,http://www.suffolkcc.gov.uk/registerservice/other/about_suff_reg_off_grph.html,52.055374190205114,1.1626046407095278,,,
County Hall,Penrhyn Road,Kingston upon Thames,,KT1 2DN,,,http://www.surreycc.gov.uk/sccwebsite/sccwspages.nsf/LookupWebPagesByTITLE_RTF/District+register+offices?opendocument,51.405105432343646,-0.30485657981647446,,,
Shire Hall,Warwick,,,CV34 4RR,,,http://www.warwickshire.gov.uk/Web/corporate/pages.nsf/links/55694AAF0C0A93D3802573840040895D ,52.29187416312617,-1.601480342415488,,,
County Hall,West Street,Chichester,,PO19 1RQ,,,http://www.westsussex.gov.uk/ccm/content/births-deaths-and-marriages/register-offices.en,50.83789911325766,-0.7828038630953493,,,
The Chestnuts,Bythesea Road,Trowbridge,,BA14 8EZ,,,http://www.wiltshire.gov.uk/registration-office-contact-details.htm,,,,,
County Hall,Spetchley Road,Worcester,,WR5 2NP,,,http://worcestershire.whub.org.uk/home/wcc-mas-proper-officer-functions.htm,52.18555397044121,-2.1825393022796193,,,
